date,target_name,model_name,actual_value,predicted_value,data_split,is_best_model
2015-09-22,high_intent_visitor_count,Prophet,,29.686421289113454,future,False
2015-09-23,high_intent_visitor_count,Prophet,,30.080135071039983,future,False
2015-09-24,high_intent_visitor_count,Prophet,,29.37634215926967,future,False
2015-09-25,high_intent_visitor_count,Prophet,,28.123636120752483,future,False
2015-09-26,high_intent_visitor_count,Prophet,,22.343731060114827,future,False
2015-09-27,high_intent_visitor_count,Prophet,,21.55755004423687,future,False
2015-09-28,high_intent_visitor_count,Prophet,,30.629462930430332,future,False
2015-09-29,high_intent_visitor_count,Prophet,,31.373163787890782,future,False
2015-09-30,high_intent_visitor_count,Prophet,,31.766877569819425,future,False
2015-10-01,high_intent_visitor_count,Prophet,,31.063084658048435,future,False
2015-10-02,high_intent_visitor_count,Prophet,,29.8103786195236,future,False
2015-09-19,high_intent_visitor_count,XGBoost Time-Series,,6.229233741760254,future,False
2015-09-20,high_intent_visitor_count,XGBoost Time-Series,,11.27232837677002,future,False
2015-09-21,high_intent_visitor_count,XGBoost Time-Series,,10.560771942138672,future,False
2015-09-22,high_intent_visitor_count,XGBoost Time-Series,,13.733060836791992,future,False
2015-09-23,high_intent_visitor_count,XGBoost Time-Series,,13.416200637817383,future,False
2015-09-24,high_intent_visitor_count,XGBoost Time-Series,,10.600876808166504,future,False
2015-09-25,high_intent_visitor_count,XGBoost Time-Series,,10.29661750793457,future,False
2015-09-26,high_intent_visitor_count,XGBoost Time-Series,,8.74474048614502,future,False
2015-09-27,high_intent_visitor_count,XGBoost Time-Series,,6.047425746917725,future,False
2015-09-28,high_intent_visitor_count,XGBoost Time-Series,,9.142574310302734,future,False
2015-09-29,high_intent_visitor_count,XGBoost Time-Series,,12.654702186584473,future,False
2015-09-30,high_intent_visitor_count,XGBoost Time-Series,,13.46343994140625,future,False
2015-10-01,high_intent_visitor_count,XGBoost Time-Series,,13.273324966430664,future,False
2015-10-02,high_intent_visitor_count,XGBoost Time-Series,,12.512826919555664,future,False
