model_name,threshold,precision,recall,f1_score,predicted_positive_rate
Logistic Regression Class Weight,0.7,0.013795918367346938,0.42462311557788945,0.0267235926628716,0.04322329329739037
Logistic Regression Class Weight,0.75,0.016877637130801686,0.39195979899497485,0.0323617881962452,0.03261329795492075
Logistic Regression Class Weight,0.8,0.021332554061952076,0.36683417085427134,0.04032035349351008,0.024148589332844056
Logistic Regression Class Weight,0.85,0.024960691823899372,0.31909547738693467,0.04629967189208895,0.01795266255486712
Logistic Regression Class Weight,0.9,0.026998411858125994,0.2562814070351759,0.04885057471264368,0.013330416496125782
Logistic Regression Class Weight,0.95,0.03323988786543853,0.20854271356783918,0.05734024179620035,0.008810494968455818
Logistic Regression Class Weight,0.97,0.04145371947756956,0.18341708542713567,0.06762389995368226,0.006213568938506485
Logistic Regression Class Weight,0.98,0.04627249357326478,0.18090452261306533,0.0736949846468782,0.005490240356795055
Logistic Regression Class Weight,0.99,0.05378151260504202,0.16080402010050251,0.08060453400503778,0.004198834206032207
Random Forest Class Weight,0.05,0.006846321922796795,0.4723618090452261,0.01349702060449422,0.09689074562827261
Random Forest Class Weight,0.1,0.008742290158219361,0.40954773869346733,0.017119151394213095,0.0657876166146811
Random Forest Class Weight,0.15,0.009645428610243173,0.35678391959798994,0.018783068783068783,0.05194557746319845
Random Forest Class Weight,0.2,0.010714285714285714,0.3241206030150754,0.020742884708152436,0.042482322555149395
Random Forest Class Weight,0.25,0.011163161566829463,0.2814070351758794,0.02147445115521043,0.035400759318589194
Random Forest Class Weight,0.3,0.012303324263575062,0.2613065326633166,0.023500169472376004,0.029825836591252312
Random Forest Class Weight,0.35,0.012870733072188025,0.23115577889447236,0.024383779485820302,0.02522123269304052
Random Forest Class Weight,0.4,0.014988211519029977,0.2236180904522613,0.028093434343434344,0.020951829844890125
Random Forest Class Weight,0.45,0.01833443781753921,0.20854271356783918,0.03370558375634518,0.015973212143451935
Random Forest Class Weight,0.5,0.021332554061952076,0.18341708542713567,0.03821989528795811,0.012074294666422028
Random Forest Class Weight,0.55,0.02622950819672131,0.16080402010050251,0.04510218463706836,0.00860937433841898
Random Forest Class Weight,0.6,0.03755868544600939,0.1407035175879397,0.059290629962943354,0.005260892269910942
Random Forest Class Weight,0.65,0.06201550387596899,0.1407035175879397,0.08608762490392007,0.0031861741916362047
Random Forest Class Weight,0.7,0.08035714285714286,0.135678391959799,0.10093457943925234,0.002371106375171129
Random Forest Class Weight,0.75,0.09147609147609148,0.11055276381909548,0.10011376564277588,0.00169717584294243
Random Forest Class Weight,0.8,0.12852664576802508,0.10301507537688442,0.11436541143654114,0.0011255698417851044
Random Forest Class Weight,0.85,0.19895287958115182,0.09547738693467336,0.12903225806451613,0.0006739305322286988
Random Forest Class Weight,0.9,0.275,0.0829145728643216,0.1274131274131274,0.0004234118527091302
Random Forest Class Weight,0.95,0.3380281690140845,0.06030150753768844,0.1023454157782516,0.0002505186795195687
Random Forest Class Weight,0.97,0.32,0.04020100502512563,0.07142857142857142,0.0001764216052954709
Random Forest Class Weight,0.98,0.4482758620689655,0.032663316582914576,0.06088992974238876,0.00010232453107137312
Random Forest Class Weight,0.99,0.625,0.02512562814070352,0.04830917874396135,5.645491369455069e-05
Tuned Random Forest,0.05,0.0015564170376332605,0.9522613065326633,0.003107754626782449,0.8592014452457906
Tuned Random Forest,0.1,0.0019110130111524163,0.8266331658291457,0.0038132106306285425,0.6074548713533654
